country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,983M,1.14B,1.35B,1.52B,1.58B,1.7B,1.8B,1.94B,2.09B,2.15B,2.17B,2.33B,2.37B,2.4B,2.58B,2.69B,2.67B,2.7B,2.89B,2.88B,2.92B,3.01B,3.06B,2.7B,2.63B,2.72B,2.69B,2.86B,2.86B,2.96B,3.03B,3.19B,3.36B,3.38B,2.75B,3.23B
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56B,8.22B,8.34B,9.28B,9.77B,11.1B,11.6B,14B,16B,16.1B,18.2B,19.2B,19.7B,20B,20.5B,21B,21.2B,22.1B,21.6B,17.1B
Angola,,,,,,,,,,,,,,,,,,,,,22.1B,21.2B,21.2B,22B,23.4B,24.2B,24.9B,25.9B,27.5B,27.5B,26.6B,26.8B,25.3B,19.2B,19.5B,22.4B,25.4B,27.3B,28.5B,29.2B,30B,31.3B,35.6B,36.6B,40.7B,46.8B,52.2B,59.5B,66.1B,66.7B,69.9B,72.4B,78.5B,82.4B,86.4B,87.2B,85B,84.8B,83.7B,83.1B,78.5B,79.3B
Albania,,,,,,,,,,,,,,,,,,,,,4.65B,4.92B,5.06B,5.12B,5.05B,5.14B,5.43B,5.39B,5.32B,5.84B,5.28B,3.8B,3.53B,3.86B,4.19B,4.74B,5.18B,4.61B,5.02B,5.66B,6.06B,6.56B,6.86B,7.24B,7.64B,8.06B,8.53B,9.04B,9.72B,10B,10.4B,10.7B,10.8B,10.9B,11.1B,11.4B,11.8B,12.2B,12.7B,13B,12.5B,13.6B
Andorra,,,,,,,,,,,859M,899M,972M,1.05B,1.11B,1.11B,1.15B,1.18B,1.2B,1.2B,1.23B,1.23B,1.24B,1.26B,1.28B,1.31B,1.36B,1.43B,1.51B,1.58B,1.64B,1.68B,1.7B,1.68B,1.72B,1.77B,1.85B,2.01B,2.08B,2.16B,2.24B,2.42B,2.53B,2.75B,2.98B,3.14B,3.29B,3.34B,3.15B,2.99B,2.93B,2.93B,2.78B,2.68B,2.75B,2.79B,2.89B,2.9B,2.95B,3.01B,2.67B,2.91B
United Arab Emirates,,,,,,,,,,,,,,,,55.4B,64.6B,78.5B,77.2B,93.4B,116B,121B,113B,108B,112B,108B,91.7B,94.8B,92.3B,104B,123B,124B,128B,130B,138B,148B,156B,169B,170B,175B,193B,196B,201B,219B,240B,251B,276B,285B,294B,278B,283B,302B,317B,333B,347B,370B,391B,394B,399B,403B,383B,398B
Argentina,151B,159B,158B,149B,164B,182B,181B,186B,195B,214B,221B,233B,237B,244B,257B,257B,252B,269B,257B,284B,288B,273B,271B,283B,287B,272B,289B,297B,294B,273B,266B,290B,313B,339B,359B,348B,368B,397B,413B,399B,396B,378B,337B,367B,400B,435B,470B,513B,533B,502B,553B,586B,580B,594B,579B,595B,582B,599B,583B,571B,515B,568B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84B,5.16B,3B,2.74B,2.88B,3.08B,3.26B,3.37B,3.62B,3.74B,3.96B,4.34B,4.91B,5.6B,6.19B,7.05B,7.98B,9.07B,9.7B,8.33B,8.51B,8.91B,9.56B,9.87B,10.2B,10.6B,10.6B,11.4B,12B,12.9B,11.9B,12.6B
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745M,752M,755M,752M,721M,735M,715M,685M,687M,687M,658M,641M,652M,673M,662M,615M,632M,629M,661M,648M
Antigua and Barbuda,,,,,,,,,,,,,,,,,,346M,361M,391M,423M,439M,438M,462M,509M,548M,611M,651M,685M,721M,743M,759M,768M,808M,862M,825M,879M,927M,971M,1.01B,1.07B,1.02B,1.03B,1.09B,1.16B,1.23B,1.39B,1.52B,1.52B,1.34B,1.23B,1.21B,1.25B,1.24B,1.29B,1.34B,1.41B,1.45B,1.55B,1.63B,1.3B,1.37B
